0 49
28 42 17
34 47 17
17 26 13
28 48 14
44 46 6
29 39 9
25 49 6
4 12 1
19 25 8
38 44 13
4 27 18
41 42 2
47 48 12
36 39 4
13 43 6
47 49 3
8 24 10
6 48 7
4 28 12
18 33 17
26 33 13
33 42 5
19 24 9
10 11 6
25 43 3
34 37 10
37 44 7
48 49 3
37 43 3
10 27 1
28 35 3
9 48 13
12 22 17
16 47 1
21 39 18
31 39 19
0 2 6
36 47 13
20 48 13
23 31 16
23 25 11
39 46 9
35 43 2
14 22 6
29 46 15
12 24 11
12 26 15
12 20 19
9 39 15
35 45 1
46 49 16
7 9 5
2 42 10
21 26 3
21 33 3
42 49 7
42 47 20
4 40 18
22 39 6
5 40 19
35 48 15
26 40 1
47 49 8
11 25 7
13 35 17
9 33 15
5 10 15
43 47 14
20 43 1
33 42 14
28 33 4
1 24 20
8 23 11
26 40 13
15 29 4
38 47 8
4 48 14
16 24 5
37 38 19
6 21 5
29 47 11
26 48 4
42 49 13
36 38 9
35 42 5
10 48 8
4 9 13
0 10 4
34 49 13
40 41 16
44 45 9
36 45 19
33 39 3
0 1 6
1 4 13
4 5 11
5 6 13
6 7 13
7 8 12
8 13 10
13 14 6
14 15 10
15 16 8
16 17 20
17 18 14
18 19 5
19 34 14
34 36 9
